# N epsilon av(E_GS) std(E_GS)
12 1.000000 -6.334361e+00 1.586406e+00
12 2.000000 -7.909052e+00 3.057731e+00
12 3.000000 -9.967433e+00 4.526037e+00
12 4.000000 -1.228442e+01 5.944750e+00
12 5.000000 -1.478216e+01 7.484167e+00
12 6.000000 -1.719219e+01 9.009882e+00
12 7.000000 -1.969535e+01 1.045814e+01
12 8.000000 -2.227730e+01 1.195156e+01
12 9.000000 -2.487979e+01 1.344642e+01
12 10.000000 -2.749704e+01 1.494226e+01
12 11.000000 -3.012523e+01 1.643855e+01
12 12.000000 -3.276174e+01 1.793501e+01
12 13.000000 -3.540477e+01 1.943181e+01
12 14.000000 -3.805293e+01 2.092874e+01
14 1.000000 -7.011564e+00 1.738913e+00
14 2.000000 -8.833119e+00 3.340858e+00
14 3.000000 -1.123472e+01 4.904068e+00
14 4.000000 -1.389169e+01 6.524994e+00
14 5.000000 -1.666505e+01 8.156543e+00
14 6.000000 -1.952051e+01 9.726077e+00
14 7.000000 -2.245350e+01 1.136871e+01
14 8.000000 -2.540687e+01 1.299211e+01
14 9.000000 -2.838267e+01 1.461700e+01
14 10.000000 -3.137451e+01 1.624306e+01
14 11.000000 -3.437809e+01 1.786981e+01
14 12.000000 -3.739072e+01 1.949689e+01
14 13.000000 -4.041051e+01 2.112414e+01
14 14.000000 -4.343591e+01 2.275149e+01
16 1.000000 -7.616631e+00 1.850916e+00
16 2.000000 -9.708934e+00 3.574262e+00
16 3.000000 -1.244553e+01 5.282150e+00
16 4.000000 -1.543967e+01 7.034527e+00
16 5.000000 -1.862728e+01 8.791261e+00
16 6.000000 -2.170831e+01 1.052811e+01
16 7.000000 -2.490899e+01 1.221070e+01
16 8.000000 -2.819884e+01 1.395702e+01
16 9.000000 -3.151258e+01 1.570464e+01
16 10.000000 -3.484358e+01 1.745303e+01
16 11.000000 -3.818725e+01 1.920185e+01
16 12.000000 -4.154063e+01 2.095095e+01
16 13.000000 -4.490152e+01 2.270017e+01
16 14.000000 -4.826846e+01 2.444942e+01
18 1.000000 -8.242401e+00 2.023259e+00
18 2.000000 -1.057250e+01 3.855793e+00
18 3.000000 -1.352853e+01 5.646141e+00
18 4.000000 -1.695279e+01 7.555710e+00
18 5.000000 -2.031024e+01 9.340054e+00
18 6.000000 -2.383999e+01 1.116881e+01
18 7.000000 -2.749316e+01 1.308205e+01
18 8.000000 -3.113742e+01 1.495057e+01
18 9.000000 -3.480699e+01 1.682067e+01
18 10.000000 -3.849483e+01 1.869134e+01
18 11.000000 -4.219616e+01 2.056257e+01
18 12.000000 -4.590764e+01 2.243420e+01
18 13.000000 -4.962710e+01 2.430605e+01
18 14.000000 -5.335276e+01 2.617802e+01
20 1.000000 -8.789250e+00 2.124444e+00
20 2.000000 -1.136281e+01 4.085016e+00
20 3.000000 -1.463311e+01 6.027493e+00
20 4.000000 -1.819652e+01 7.989809e+00
20 5.000000 -2.193731e+01 9.960856e+00
20 6.000000 -2.577483e+01 1.193924e+01
20 7.000000 -2.967213e+01 1.392320e+01
20 8.000000 -3.360853e+01 1.591002e+01
20 9.000000 -3.757220e+01 1.789873e+01
20 10.000000 -4.155519e+01 1.988852e+01
20 11.000000 -4.555262e+01 2.187889e+01
20 12.000000 -4.956098e+01 2.386966e+01
20 13.000000 -5.357778e+01 2.586072e+01
20 14.000000 -5.760128e+01 2.785191e+01
22 1.000000 -9.337328e+00 2.217235e+00
22 2.000000 -1.214075e+01 4.246096e+00
22 3.000000 -1.568713e+01 6.262356e+00
22 4.000000 -1.958240e+01 8.287370e+00
22 5.000000 -2.363468e+01 1.032941e+01
22 6.000000 -2.778649e+01 1.238090e+01
22 7.000000 -3.200080e+01 1.443782e+01
22 8.000000 -3.625610e+01 1.649771e+01
22 9.000000 -4.053960e+01 1.855942e+01
22 10.000000 -4.484355e+01 2.062229e+01
22 11.000000 -4.916265e+01 2.268601e+01
22 12.000000 -5.349314e+01 2.475034e+01
22 13.000000 -5.783255e+01 2.681510e+01
22 14.000000 -6.217890e+01 2.888016e+01
22 15.000000 -6.653095e+01 3.094538e+01
22 16.000000 -7.088768e+01 3.301067e+01
22 17.000000 -7.524826e+01 3.507605e+01
