# bins histo
4.239271869569211310e-04 1.260894289781705702e+01
1.098709154150276542e-03 3.078547097129359500e+01
1.773491121343631844e-03 4.912575154993656668e+01
2.448273088536987146e-03 6.484599204591630439e+01
3.123055055730342231e-03 8.957262032605106583e+01
3.797837022923697750e-03 9.088264036738259222e+01
4.472618990117053703e-03 1.030003257497004086e+02
5.147400957310407921e-03 9.743274057404092048e+01
5.822182924503763873e-03 1.028365732445339518e+02
6.496964891697118091e-03 1.011990481928693981e+02
7.171746858890474044e-03 9.317517543971297300e+01
7.846528826083829997e-03 8.662507523305475843e+01
8.521310793277184215e-03 8.400503515039169145e+01
9.196092760470540167e-03 7.581740989206872428e+01
9.870874727663896120e-03 6.435473453041701930e+01
1.054565669485725034e-02 6.157094194258712605e+01
1.122043866205060629e-02 5.256455415843209522e+01
1.189522062924396051e-02 3.880934372444996683e+01
1.257000259643731646e-02 3.651680865211949367e+01
1.324478456363067241e-02 3.062171846612718795e+01
1.391956653082402663e-02 2.898419341446255615e+01
1.459434849801738258e-02 2.014155813547397855e+01
1.526913046521073680e-02 1.572024049597973416e+01
1.594391243240409275e-02 1.031640782548664603e+01
1.661869439959744871e-02 8.023872753156341631e+00
1.729347636679080119e-02 8.023872753156300774e+00
1.796825833398416061e-02 7.041357722157570720e+00
1.864304030117751310e-02 4.093812629161378780e+00
1.931782226837087252e-02 3.111297598162647393e+00
1.999260423556422500e-02 3.111297598162663380e+00
2.066738620275757748e-02 2.783792587829737375e+00
2.134216816995093691e-02 1.146267536165185730e+00
2.201695013714428939e-02 9.825150309987307207e-01
2.269173210433764881e-02 4.912575154993653603e-01
2.336651407153100130e-02 4.912575154993679138e-01
2.404129603872435378e-02 3.275050103329102402e-01
2.471607800591771320e-02 3.275050103329102402e-01
2.539085997311106568e-02 1.637525051664551201e-01
2.606564194030442511e-02 1.637525051664551201e-01
2.674042390749777759e-02 1.637525051664559528e-01
