# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.964326849951057996e-01 5.516945565138506868e-01 6.964255309062501453e-01 8.475797909910993688e-01
2.000000000000000000e+00 1.504307955306395606e+00 8.724615148466977610e-01 1.506514650142992906e+00 2.380723120958135652e+00
3.000000000000000000e+00 1.991550385463318751e+00 1.027250193859289951e+00 2.003172346648969260e+00 3.632760785390260594e+00
4.000000000000000000e+00 2.319347492901705721e+00 1.117431481851161923e+00 2.337070542706242371e+00 4.562522164919269763e+00
5.000000000000000000e+00 2.587301519821175066e+00 1.222178542688637792e+00 2.614533642425738602e+00 5.329099857136653462e+00
6.000000000000000000e+00 2.786615211187593477e+00 1.281139701646637929e+00 2.834928655017661558e+00 5.951984890238447790e+00
7.000000000000000000e+00 2.927665202030739877e+00 1.311172468306846639e+00 2.993794718475273786e+00 6.450772817106256163e+00
8.000000000000000000e+00 3.058015382389283054e+00 1.349690946726012308e+00 3.126982535199934965e+00 6.881284668071205424e+00
9.000000000000000000e+00 3.167318415162946099e+00 1.378670283300915678e+00 3.242131874282905724e+00 7.274585551065220201e+00
1.000000000000000000e+01 3.274204597513017401e+00 1.416471017686010248e+00 3.354962571386351566e+00 7.649900648952464799e+00
1.100000000000000000e+01 3.395332494075645968e+00 1.464894642952410342e+00 3.465166935104522672e+00 8.026240808257433912e+00
1.200000000000000000e+01 3.505703989428573308e+00 1.512252496739904251e+00 3.563872192311268172e+00 8.359439822484498350e+00
1.300000000000000000e+01 3.576894235119188359e+00 1.521212223615218795e+00 3.625498130441819011e+00 8.636650749716944020e+00
1.400000000000000000e+01 3.637389904927752937e+00 1.542398545809103405e+00 3.693287589411348382e+00 8.898253284189886259e+00
1.500000000000000000e+01 3.711127788077144274e+00 1.577114057415829995e+00 3.763286602268012704e+00 9.145191751237499389e+00
1.600000000000000000e+01 3.767843474898922018e+00 1.591292977346023374e+00 3.816920766116189245e+00 9.356641017593528176e+00
1.700000000000000000e+01 3.811379037301932726e+00 1.594133241830977488e+00 3.851438896109645960e+00 9.542124730159141421e+00
1.800000000000000000e+01 3.866609440318245383e+00 1.609307700047145406e+00 3.906266860928555129e+00 9.749448252040506802e+00
1.900000000000000000e+01 3.917546666908780839e+00 1.633060495939399726e+00 3.972093391610354907e+00 9.962699917941087335e+00
2.000000000000000000e+01 3.973935492946039538e+00 1.653875906700872145e+00 4.038310123624981429e+00 1.017241365554086663e+01
2.100000000000000000e+01 4.042816662092313607e+00 1.672823553943788788e+00 4.098969081917073431e+00 1.038289511250627761e+01
2.200000000000000000e+01 4.093177517774425844e+00 1.691932648276693207e+00 4.143152864451056239e+00 1.056208485827286658e+01
2.300000000000000000e+01 4.127519970376743785e+00 1.695530892599627748e+00 4.174169996316552833e+00 1.071351357086716583e+01
2.400000000000000000e+01 4.175559774410436908e+00 1.718643104327669091e+00 4.226749878806835170e+00 1.087771106255402564e+01
2.500000000000000000e+01 4.218967867774006564e+00 1.733586427936999907e+00 4.280192830567428608e+00 1.104316988882298922e+01
2.600000000000000000e+01 4.257425179207307231e+00 1.746093347668269624e+00 4.336531192495342246e+00 1.120086642263188992e+01
2.700000000000000000e+01 4.289253662048968962e+00 1.758841471916945620e+00 4.383790314215923800e+00 1.134911124380358771e+01
2.800000000000000000e+01 4.323661474896088208e+00 1.767967344056724066e+00 4.419081289307716709e+00 1.148430382497546809e+01
2.900000000000000000e+01 4.357967600913321249e+00 1.779655538500761525e+00 4.457374041929815789e+00 1.162170434641167738e+01
3.000000000000000000e+01 4.394617660839776896e+00 1.792780841921398194e+00 4.502500121179233261e+00 1.177061683226072653e+01
3.100000000000000000e+01 4.442218289680069709e+00 1.810165686676899366e+00 4.545125197394079386e+00 1.192202025534002274e+01
3.200000000000000000e+01 4.476826780288468477e+00 1.821833827373458226e+00 4.584341968025419156e+00 1.205884175402125358e+01
3.300000000000000000e+01 4.507956872543877225e+00 1.826089089041146751e+00 4.622722580309371665e+00 1.218454309169834815e+01
3.400000000000000000e+01 4.537905685738890860e+00 1.831889521108942542e+00 4.660606715022177937e+00 1.230584941144530120e+01
3.500000000000000000e+01 4.557528129154412078e+00 1.839130687237638506e+00 4.696228812472574177e+00 1.241453490822136629e+01
3.600000000000000000e+01 4.581948520545267023e+00 1.840388978182636581e+00 4.724081152642620296e+00 1.251408813049241253e+01
3.700000000000000000e+01 4.622923073302005470e+00 1.853394482773448315e+00 4.767225281642468282e+00 1.263780298914562472e+01
3.800000000000000000e+01 4.671548022786112142e+00 1.872052793691894701e+00 4.801698278979130485e+00 1.276222007866255126e+01
3.900000000000000000e+01 4.700926248441105848e+00 1.872751125879047240e+00 4.819213759328933477e+00 1.285376238646573732e+01
4.000000000000000000e+01 4.726046842666307590e+00 1.877527608655293889e+00 4.844762104065264197e+00 1.294276344813801494e+01
4.100000000000000000e+01 4.757835990839295093e+00 1.889712338445829420e+00 4.882049802190385535e+00 1.304828397052686562e+01
4.200000000000000000e+01 4.791441879048324637e+00 1.902614555016452158e+00 4.921560292132310721e+00 1.315825202291008367e+01
4.300000000000000000e+01 4.810859875405088637e+00 1.910239084517194152e+00 4.952940908591937585e+00 1.324755570711839958e+01
4.400000000000000000e+01 4.822131932023927092e+00 1.907419686461528929e+00 4.973516405953951391e+00 1.332637339425752998e+01
4.500000000000000000e+01 4.848748438762034318e+00 1.912793066338369208e+00 5.001502733405835954e+00 1.341945824358382566e+01
4.600000000000000000e+01 4.877577110475163735e+00 1.923699672370561720e+00 5.019673289611213285e+00 1.349652541636859127e+01
4.700000000000000000e+01 4.895545225515646415e+00 1.926223511090031204e+00 5.029226368224769317e+00 1.356363944459566184e+01
4.800000000000000000e+01 4.924394633303427860e+00 1.938371258389851137e+00 5.054119605376119040e+00 1.365060915282052001e+01
4.900000000000000000e+01 4.944822180580605853e+00 1.943599304910642811e+00 5.076028063173977145e+00 1.372994111367846592e+01
5.000000000000000000e+01 4.950775950065728459e+00 1.937953500622920044e+00 5.086484557594264544e+00 1.378156351548342862e+01
5.100000000000000000e+01 4.961037065553083103e+00 1.938391345511248920e+00 5.094707694228196360e+00 1.383388406409049765e+01
5.200000000000000000e+01 4.987377457405487213e+00 1.948647020411959474e+00 5.107854500789752450e+00 1.389491299562311788e+01
5.300000000000000000e+01 5.010446344788991091e+00 1.959266499461389976e+00 5.122521268495729529e+00 1.395847756803619610e+01
5.400000000000000000e+01 5.014801269168265740e+00 1.951528308961276936e+00 5.132845239446264252e+00 1.401192042271718741e+01
5.500000000000000000e+01 5.026423297083630004e+00 1.958813804902092004e+00 5.160934387996708672e+00 1.407068527851309270e+01
5.600000000000000000e+01 5.057075195140740220e+00 1.976329131479407586e+00 5.200707150843753901e+00 1.415644972060842832e+01
5.700000000000000000e+01 5.088163600102156181e+00 1.981318012452224275e+00 5.225285179845021055e+00 1.423826820356796752e+01
5.800000000000000000e+01 5.096759392617407514e+00 1.978366328455898993e+00 5.240571113235680478e+00 1.429098979750907716e+01
5.900000000000000000e+01 5.102724416247593098e+00 1.979859512221741280e+00 5.257351869764694818e+00 1.433742782096061141e+01
6.000000000000000000e+01 5.134683740361019488e+00 1.989445431927576502e+00 5.273735211136548529e+00 1.440774179401091182e+01
6.100000000000000000e+01 5.160170969091224080e+00 1.992287510825784702e+00 5.286637207563304131e+00 1.447466810717927999e+01
6.200000000000000000e+01 5.160977516647805352e+00 1.985744102073730755e+00 5.296403204808886933e+00 1.451488952859010517e+01
6.300000000000000000e+01 5.167973378972361864e+00 1.987253735221149453e+00 5.306092303718847880e+00 1.455868469200781590e+01
6.400000000000000000e+01 5.193480842381254625e+00 1.997799997272458494e+00 5.327779115667590659e+00 1.462972325410714447e+01
6.500000000000000000e+01 5.218745630046787376e+00 2.002141498700171773e+00 5.351092238418013736e+00 1.470567349715831718e+01
6.600000000000000000e+01 5.249157631821920411e+00 2.009541962062541209e+00 5.378120372772035473e+00 1.478123592882916526e+01
6.700000000000000000e+01 5.280720423120013329e+00 2.020468626501427334e+00 5.403787710505059572e+00 1.485966616269810991e+01
