# eigenvalue IPR
-1.523253819564039802e+01 3.952792337584726950e-02
-1.479044834864734170e+01 4.775728659839050677e-02
-1.416158217950817289e+01 5.315384364143232315e-02
-1.401461407755431665e+01 5.340450264175385792e-02
-1.361405771303133250e+01 5.433058857885100096e-02
-1.333792455640042540e+01 4.816369153570087408e-02
-1.310488932693527531e+01 9.105758534217683886e-02
-1.299522166770868381e+01 4.985102689866557912e-02
-1.287279436784674225e+01 4.159727223984422545e-02
-1.263666295636683223e+01 3.953983405077822477e-02
-1.248730746702326044e+01 4.747092040124357981e-02
-1.243024069548003929e+01 5.796736383275891136e-02
-1.230406242883851675e+01 3.923361862683090451e-02
-1.220713965543829893e+01 7.314180815605426933e-02
-1.210169767518984862e+01 6.673462838391137908e-02
-1.191996331691530742e+01 3.807700082968452915e-02
-1.176527060967099736e+01 3.139976877824008500e-02
-1.175102546445732798e+01 3.347973686121331893e-02
-1.152974348887351219e+01 3.903058740542092453e-02
-1.149950233746256778e+01 3.712077729961502093e-02
-1.139983952404744372e+01 4.492815953365882770e-02
-1.133446099707624199e+01 2.856340415143109046e-02
-1.130782287248613827e+01 2.353552494429648340e-02
-1.120129587636953339e+01 2.515212449588293681e-02
-1.111348162751079371e+01 2.313798169299120105e-02
-1.100836305783816726e+01 2.417572112372955162e-02
-1.097146647479235604e+01 3.206405051884304858e-02
-1.090743078592919701e+01 7.468305990829994523e-02
-1.087544566731653184e+01 2.634822446050966160e-02
-1.077076322401341990e+01 2.141784822145455236e-02
-1.074397896417444542e+01 2.365912823500349732e-02
-1.059327853596284896e+01 4.527921096454259886e-02
-1.055118323993777985e+01 1.977613873022488616e-02
-1.043277904017182678e+01 2.391609073194990789e-02
-1.032586203954430104e+01 3.720957335393042242e-02
-1.018906546966040061e+01 2.289803276796689019e-02
-1.015958954881567600e+01 4.638906328281092173e-02
-1.012209434480012327e+01 2.002607505913845537e-02
-1.002221985011422056e+01 2.470890407465178851e-02
-9.996437452158406956e+00 2.034941180495901045e-02
-9.961948877182035034e+00 2.592264682260508185e-02
-9.881623747091012433e+00 2.154179355716045324e-02
-9.854519589611678398e+00 1.898792256409196147e-02
-9.802654086441144443e+00 3.355484696234938002e-02
-9.738677666614357520e+00 2.941988512522953486e-02
-9.704697613490962382e+00 2.573592292664914072e-02
-9.652581248362830380e+00 2.398440036330207886e-02
-9.615781134101094807e+00 2.257115865937852836e-02
-9.585340778802901696e+00 3.965209524172062100e-02
-9.546364910090277434e+00 2.195793226976741619e-02
-9.484237312556178523e+00 2.380245488663304890e-02
-9.450664856492419830e+00 2.449393860636406295e-02
-9.412130357505240852e+00 2.690414729188424225e-02
-9.367428701127890278e+00 1.950347019040678254e-02
-9.287716054708585744e+00 1.727266135953926807e-02
-9.207138294122227506e+00 2.343859525027952584e-02
-9.185526824469445017e+00 1.755566389935344501e-02
-9.084342983211859845e+00 3.005085394791808320e-02
-9.062198122341024842e+00 3.777166307746657181e-02
-9.055402738888698622e+00 1.895100608251864410e-02
-8.954917678526525648e+00 3.579826958370768003e-02
-8.906820823678671672e+00 1.981059015298902715e-02
-8.866877819243367043e+00 3.127754680895724476e-02
-8.820378930250392102e+00 2.214296710583611022e-02
-8.728995532853785377e+00 1.601799856975271580e-02
-8.687599422737292798e+00 1.863441623087482360e-02
-8.607464333022596392e+00 2.248028107507063500e-02
-8.583743711134257381e+00 1.631472678516229097e-02
-8.532751916350450827e+00 1.794665197595724654e-02
-8.517907142448477131e+00 3.470853655549372557e-02
-8.480040021160977659e+00 1.917480352049742362e-02
