# N ts_per_decade dis_num time
18 20 4 11.532861471176147
20 20 4 30.71412467956543
22 20 4 96.29551196098328
24 20 4 318.79204630851746
26 20 4 1117.627677679062
28 20 4 2421.9441390037537
30 20 4 3753.360011577606
32 20 4 6187.505357027054
34 20 4 10312.450850963593
36 20 4 21412.29029083252
38 20 4 32425.394970417023
40 20 4 57006.856550216675
42 20 4 109564.03949475288


#32 20 4 22921.134135961533
#34 20 4 37776.75597071648
#36 20 4 52133.69022536278
#38 20 4 89910.53466916084
#40 20 4 140217.6829404831
#42 20 4 155729.28213262558
#44 20 4 211932.9055325985
